REF_DATE,GEO,Gender,Indicators,VALUE,Age group,Characteristics
1995,Saskatchewan,X Gender,"No, do not feel lonely",11.4,15 to 19 years,Living with two parents
1995,Manitoba,X Gender,"Sometimes, feels lonely",16.3,25 to 64 years,Other
1995,Manitoba,X Gender,"Yes, feels lonely",41.5,25 to 64 years,Living with lone parent
1995,Manitoba,X Gender,"Sometimes, feels lonely",38.6,25 to 64 years,Not living with any parent
1995,Manitoba,X Gender,"Sometimes, feels lonely",20.2,0 to 4 years,Other
1995,Manitoba,X Gender,"Sometimes, feels lonely",15.5,0 to 4 years,Living with two parents
1995,Manitoba,X Gender,"No, do not feel lonely",13.3,11 to 14 years,Other
1995,Manitoba,X Gender,"Sometimes, feels lonely",38.9,11 to 14 years,Living with lone parent
1995,Manitoba,X Gender,"No, do not feel lonely",14.9,5 to 10 years,Other
1995,Manitoba,X Gender,"Yes, feels lonely",51.1,5 to 10 years,Living with lone parent
1995,Manitoba,X Gender,"No, do not feel lonely",9.9,15 to 19 years,Other
1995,Manitoba,X Gender,"Yes, feels lonely",47.3,15 to 19 years,Not living with any parent
1995,Manitoba,X Gender,"Sometimes, feels lonely",21.4,20 to 24 years,Other
1995,Manitoba,X Gender,"Sometimes, feels lonely",37.2,20 to 24 years,Not living with any parent
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",20.8,25 to 64 years,Other
1995,Saskatchewan,X Gender,"No, do not feel lonely",13.7,25 to 64 years,Living with two parents
1995,Saskatchewan,X Gender,"Yes, feels lonely",46.0,25 to 64 years,Living with lone parent
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",34.1,25 to 64 years,Not living with any parent
1995,Ontario,X Gender,"Sometimes, feels lonely",24.6,20 to 24 years,Not living with any parent
1995,Ontario,X Gender,"No, do not feel lonely",13.0,20 to 24 years,Other
1995,Ontario,X Gender,"Yes, feels lonely",47.2,15 to 19 years,Not living with any parent
1995,Ontario,X Gender,"No, do not feel lonely",2.5,15 to 19 years,Living with two parents
1995,Quebec,X Gender,"Yes, feels lonely",71.1,15 to 19 years,Not living with any parent
1995,Quebec,X Gender,"Sometimes, feels lonely",20.2,20 to 24 years,Other
1995,Quebec,X Gender,"Sometimes, feels lonely",33.2,20 to 24 years,Not living with any parent
1995,Ontario,X Gender,"No, do not feel lonely",11.6,25 to 64 years,Other
1995,Ontario,X Gender,"No, do not feel lonely",6.0,25 to 64 years,Living with two parents
1995,Ontario,X Gender,"Sometimes, feels lonely",27.4,25 to 64 years,Living with lone parent
1995,Ontario,X Gender,"Sometimes, feels lonely",27.5,25 to 64 years,Not living with any parent
1995,Ontario,X Gender,"No, do not feel lonely",13.8,0 to 4 years,Other
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",18.6,0 to 4 years,Other
1995,Ontario,X Gender,"No, do not feel lonely",7.7,0 to 4 years,Living with two parents
1995,Ontario,X Gender,"No, do not feel lonely",10.5,11 to 14 years,Other
1995,Ontario,X Gender,"No, do not feel lonely",5.5,11 to 14 years,Living with two parents
1995,Ontario,X Gender,"Sometimes, feels lonely",27.3,11 to 14 years,Living with lone parent
1995,Ontario,X Gender,"Yes, feels lonely",42.8,11 to 14 years,Not living with any parent
